specialty,symptoms
ENT,sinus pressure in the morning
ENT,tonsil inflammation for 3 days
Neurology,intermittent episodes of tingling
Dermatology,skin discoloration during exercise
Gastroenterology,vomiting with discharge
Pulmonology,recurrent lung infection for a month
Gastroenterology,constipation with discharge
Endocrinology,heat intolerance for 3 days
Hematology,nosebleeds for 2 weeks
Dermatology,blisters with nausea
Hematology,pale skin during hot weather
Hematology,recurrent swollen lymph nodes
Pulmonology,persistent cough after eating
Pulmonology,chest tightness at rest
Orthopedics,moderate bone pain
Orthopedics,intermittent fracture pain
Ophthalmology,eye discharge for 3 days
ENT,tonsil inflammation during exercise
Gastroenterology,chronic heartburn
Cardiology,constant fainting
Cardiology,swelling in legs for a week
Gastroenterology,bloating during exercise
Gastroenterology,constipation for 2 days
ENT,runny nose for a month
Cardiology,chest pain with sensory loss
Cardiology,fainting for a month
Cardiology,constant palpitations
Oncology,difficulty swallowing with fever
Oncology,chronic pain
Dermatology,dry skin with blood
Pulmonology,burning coughing blood
Ophthalmology,recurrent double vision
Endocrinology,excessive thirst with associated weight gain
Pulmonology,shortness of breath on exertion since last night
Neurology,weakness with fever
Dermatology,blisters for a week
Gastroenterology,progressive blood in stool
Pulmonology,chronic cough worsening over time
Psychiatry,gradual onset of loss of interest
Oncology,chronic pain for a week
Cardiology,palpitations for 2 days
Oncology,blood in cough that prevents sleep
Ophthalmology,red eye at rest
Endocrinology,intermittent heat intolerance
Orthopedics,alternating fracture pain and back pain
Hematology,alternating swollen lymph nodes and excessive bleeding
Oncology,burning persistent lumps
Endocrinology,fatigue for several weeks
Cardiology,progressive chest tightness
Pulmonology,chronic cough for a month
Pulmonology,recurrent lung infection accompanied by swelling
Cardiology,recurrent palpitations
Ophthalmology,red eye for a month
Pediatrics,diarrhea child for a month
Pediatrics,recurrent fever in child
Ophthalmology,worse in the morning: double vision
Orthopedics,hip pain for a month
Endocrinology,chronic hair loss
Gastroenterology,acid reflux accompanied by redness
Dermatology,itching for a month
Gastroenterology,constant nausea
Neurology,recurrent weakness
Endocrinology,worse in the morning: fatigue
Hematology,moderate blood in urine
Dermatology,acne for 2 days
Hematology,recurrent frequent infections
Pediatrics,diarrhea child for 2 days
Gastroenterology,acid reflux for a month
Orthopedics,gradual onset of limb weakness
Hematology,excessive bleeding with sensory loss
Pediatrics,delayed milestones for a month
Ophthalmology,mild double vision
Pulmonology,exercise-induced wheeze with fever
Endocrinology,alternating excessive thirst and fatigue
Gastroenterology,worse when lying down: vomiting
Gastroenterology,constipation after eating
